A0,A1,A2,A3,I0,I1,I2,I3,D0,D1,D2,D3,landslide
19.02695175,11.35414925,25.96636075,1.984762922,3.805390349,1.622021322,3.709480107,0.49619073,5,7,7,4,0
29.57429045,19.02695175,11.35414925,25.96636075,2.688571859,3.805390349,1.622021322,3.709480107,11,5,7,7,0
1.106712937,29.57429045,19.02695175,11.35414925,1.106712937,2.688571859,3.805390349,1.622021322,1,11,5,7,0
0,1.106712937,29.57429045,19.02695175,0,1.106712937,2.688571859,3.805390349,0,1,11,5,0
0,0,1.106712937,29.57429045,0,0,1.106712937,2.688571859,0,0,1,11,0
5.55132845,0,0,1.106712937,0.616814272,0,0,1.106712937,9,0,0,1,0
6.365020126,5.55132845,0,0,1.591255032,0.616814272,0,0,4,9,0,0,0
22.56129433,6.365020126,5.55132845,0,3.223042047,1.591255032,0.616814272,0,7,4,9,0,0
0.146998882,22.56129433,6.365020126,5.55132845,0.146998882,3.223042047,1.591255032,0.616814272,1,7,4,9,0
0,0.146998882,22.56129433,6.365020126,0,0.146998882,3.223042047,1.591255032,0,1,7,4,0
0,0,0.146998882,22.56129433,0,0,0.146998882,3.223042047,0,0,1,7,0
0,0,0,0.146998882,0,0,0,0.146998882,0,0,0,1,0
2.688856363,0,0,0,1.344428182,0,0,0,2,0,0,0,0
6.388270862,2.688856363,0,0,1.277654172,1.344428182,0,0,5,2,0,0,0
8.148948163,6.388270862,2.688856363,0,1.629789633,1.277654172,1.344428182,0,5,5,2,0,0
7.689834446,8.148948163,6.388270862,2.688856363,1.537966889,1.629789633,1.277654172,1.344428182,5,5,5,2,0
0,7.689834446,8.148948163,6.388270862,0,1.537966889,1.629789633,1.277654172,0,5,5,5,0
0,0,7.689834446,8.148948163,0,0,1.537966889,1.629789633,0,0,5,5,0
2.067711592,0,0,7.689834446,2.067711592,0,0,1.537966889,1,0,0,5,0
0.626053274,2.067711592,0,0,0.626053274,2.067711592,0,0,1,1,0,0,0
20.84473097,0.626053274,2.067711592,0,4.168946195,0.626053274,2.067711592,0,5,1,1,0,0
0.103309378,20.84473097,0.626053274,2.067711592,0.103309378,4.168946195,0.626053274,2.067711592,1,5,1,1,0
16.35914826,0.103309378,20.84473097,0.626053274,2.337021181,0.103309378,4.168946195,0.626053274,7,1,5,1,0
3.573569775,16.35914826,0.103309378,20.84473097,3.573569775,2.337021181,0.103309378,4.168946195,1,7,1,5,0
0,3.573569775,16.35914826,0.103309378,0,3.573569775,2.337021181,0.103309378,0,1,7,1,0
27.70652667,0,3.573569775,16.35914826,2.518775152,0,3.573569775,2.337021181,11,0,1,7,0
31.70105326,27.70652667,0,3.573569775,1.981315829,2.518775152,0,3.573569775,16,11,0,1,0
39.03023583,31.70105326,27.70652667,0,3.548203257,1.981315829,2.518775152,0,11,16,11,0,0
37.90077823,39.03023583,31.70105326,27.70652667,2.915444479,3.548203257,1.981315829,2.518775152,13,11,16,11,1
6.656802058,37.90077823,39.03023583,31.70105326,1.10946701,2.915444479,3.548203257,1.981315829,6,13,11,16,0
2.266994596,6.656802058,37.90077823,39.03023583,1.133497298,1.10946701,2.915444479,3.548203257,2,6,13,11,0
0,2.266994596,6.656802058,37.90077823,0,1.133497298,1.10946701,2.915444479,0,2,6,13,0
0,0,2.266994596,6.656802058,0,0,1.133497298,1.10946701,0,0,2,6,0
6.286618888,0,0,2.266994596,1.257323778,0,0,1.133497298,5,0,0,2,0
19.53007744,6.286618888,0,0,2.170008605,1.257323778,0,0,9,5,0,0,0
17.19181043,19.53007744,6.286618888,0,4.297952607,2.170008605,1.257323778,0,4,9,5,0,0
5.611674458,17.19181043,19.53007744,6.286618888,2.805837229,4.297952607,2.170008605,1.257323778,2,4,9,5,0
4.787206173,5.611674458,17.19181043,19.53007744,1.595735391,2.805837229,4.297952607,2.170008605,3,2,4,9,0
0,4.787206173,5.611674458,17.19181043,0,1.595735391,2.805837229,4.297952607,0,3,2,4,0
15.67098965,0,4.787206173,5.611674458,5.223663216,0,1.595735391,2.805837229,3,0,3,2,0
0,15.67098965,0,4.787206173,0,5.223663216,0,1.595735391,0,3,0,3,0
0,0,15.67098965,0,0,0,5.223663216,0,0,0,3,0,0
0,0,0,15.67098965,0,0,0,5.223663216,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
11.99420369,0,0,0,1.999033948,0,0,0,6,0,0,0,0
1.970552802,11.99420369,0,0,1.970552802,1.999033948,0,0,1,6,0,0,0
2.014840126,1.970552802,11.99420369,0,2.014840126,1.970552802,1.999033948,0,1,1,6,0,0
20.41368848,2.014840126,1.970552802,11.99420369,3.402281413,2.014840126,1.970552802,1.999033948,6,1,1,6,0
0,20.41368848,2.014840126,1.970552802,0,3.402281413,2.014840126,1.970552802,0,6,1,1,0
0.230857417,0,20.41368848,2.014840126,0.230857417,0,3.402281413,2.014840126,1,0,6,1,0
0,0.230857417,0,20.41368848,0,0.230857417,0,3.402281413,0,1,0,6,0
0.539304852,0,0.230857417,0,0.539304852,0,0.230857417,0,1,0,1,0,0
0,0.539304852,0,0.230857417,0,0.539304852,0,0.230857417,0,1,0,1,0
0,0,0.539304852,0,0,0,0.539304852,0,0,0,1,0,0
2.92139256,0,0,0.539304852,0.97379752,0,0,0.539304852,3,0,0,1,0
25.19480613,2.92139256,0,0,2.519480613,0.97379752,0,0,10,3,0,0,0
0.639722884,25.19480613,2.92139256,0,0.319861442,2.519480613,0.97379752,0,2,10,3,0,0
0,0.639722884,25.19480613,2.92139256,0,0.319861442,2.519480613,0.97379752,0,2,10,3,0
11.10064779,0,0.639722884,25.19480613,1.850107965,0,0.319861442,2.519480613,6,0,2,10,0
16.64450409,11.10064779,0,0.639722884,4.161126021,1.850107965,0,0.319861442,4,6,0,2,0
10.70698385,16.64450409,11.10064779,0,2.14139677,4.161126021,1.850107965,0,5,4,6,0,0
2.86806269,10.70698385,16.64450409,11.10064779,0.717015672,2.14139677,4.161126021,1.850107965,4,5,4,6,0
0.585364461,2.86806269,10.70698385,16.64450409,0.195121487,0.717015672,2.14139677,4.161126021,3,4,5,4,0
6.065630674,0.585364461,2.86806269,10.70698385,1.010938446,0.195121487,0.717015672,2.14139677,6,3,4,5,0
5.080007873,6.065630674,0.585364461,2.86806269,1.270001968,1.010938446,0.195121487,0.717015672,4,6,3,4,0
7.9685812,5.080007873,6.065630674,0.585364461,3.9842906,1.270001968,1.010938446,0.195121487,2,4,6,3,0
0,7.9685812,5.080007873,6.065630674,0,3.9842906,1.270001968,1.010938446,0,2,4,6,0
8.279026866,0,7.9685812,5.080007873,2.069756716,0,3.9842906,1.270001968,4,0,2,4,0
0.284527481,8.279026866,0,7.9685812,0.284527481,2.069756716,0,3.9842906,1,4,0,2,0
1.213157296,0.284527481,8.279026866,0,0.606578648,0.284527481,2.069756716,0,2,1,4,0,0
2.206881106,1.213157296,0.284527481,8.279026866,0.551720276,0.606578648,0.284527481,2.069756716,4,2,1,4,0
1.582811832,2.206881106,1.213157296,0.284527481,0.791405916,0.551720276,0.606578648,0.284527481,2,4,2,1,0
4.452693522,1.582811832,2.206881106,1.213157296,1.11317338,0.791405916,0.551720276,0.606578648,4,2,4,2,0
0,4.452693522,1.582811832,2.206881106,0,1.11317338,0.791405916,0.551720276,0,4,2,4,0
0,0,4.452693522,1.582811832,0,0,1.11317338,0.791405916,0,0,4,2,0
0,0,0,4.452693522,0,0,0,1.11317338,0,0,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0.117647059,0,0,0,0.117647059,0,0,0,1,0,0,0,0
0,0.117647059,0,0,0,0.117647059,0,0,0,1,0,0,0
0,0,0.117647059,0,0,0,0.117647059,0,0,0,1,0,0
0,0,0,0.117647059,0,0,0,0.117647059,0,0,0,1,0
1.368918121,0,0,0,0.45630604,0,0,0,3,0,0,0,0
0.914663523,1.368918121,0,0,0.304887841,0.45630604,0,0,3,3,0,0,0
0.721739829,0.914663523,1.368918121,0,0.721739829,0.304887841,0.45630604,0,1,3,3,0,0
3.887163401,0.721739829,0.914663523,1.368918121,1.295721134,0.721739829,0.304887841,0.45630604,3,1,3,3,0
2.786059439,3.887163401,0.721739829,0.914663523,0.69651486,1.295721134,0.721739829,0.304887841,4,3,1,3,0
0,2.786059439,3.887163401,0.721739829,0,0.69651486,1.295721134,0.721739829,0,4,3,1,0
0.918624341,0,2.786059439,3.887163401,0.459312171,0,0.69651486,1.295721134,2,0,4,3,0
10.31338142,0.918624341,0,2.786059439,2.578345355,0.459312171,0,0.69651486,4,2,0,4,0
0,10.31338142,0.918624341,0,0,2.578345355,0.459312171,0,0,4,2,0,0
31.69006796,0,10.31338142,0.918624341,3.169006796,0,2.578345355,0.459312171,10,0,4,2,0
0,31.69006796,0,10.31338142,0,3.169006796,0,2.578345355,0,10,0,4,0
0,0,31.69006796,0,0,0,3.169006796,0,0,0,10,0,0
3.894503832,0,0,31.69006796,1.947251916,0,0,3.169006796,2,0,0,10,0
0,3.894503832,0,0,0,1.947251916,0,0,0,2,0,0,0
0.60992755,0,3.894503832,0,0.304963775,0,1.947251916,0,2,0,2,0,0
18.4710973,0.60992755,0,3.894503832,2.638728185,0.304963775,0,1.947251916,7,2,0,2,0
0,18.4710973,0.60992755,0,0,2.638728185,0.304963775,0,0,7,2,0,0
40.70136094,0,18.4710973,0.60992755,4.070136094,0,2.638728185,0.304963775,10,0,7,2,0
0,40.70136094,0,18.4710973,0,4.070136094,0,2.638728185,0,10,0,7,0
0,0,40.70136094,0,0,0,4.070136094,0,0,0,10,0,0
1.516996145,0,0,40.70136094,1.516996145,0,0,4.070136094,1,0,0,10,0
0,1.516996145,0,0,0,1.516996145,0,0,0,1,0,0,0
0,0,1.516996145,0,0,0,1.516996145,0,0,0,1,0,0
0,0,0,1.516996145,0,0,0,1.516996145,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0.711812988,0,0,0,0.237270996,0,0,0,3,0,0,0,0
0,0.711812988,0,0,0,0.237270996,0,0,0,3,0,0,0
0,0,0.711812988,0,0,0,0.237270996,0,0,0,3,0,0
0,0,0,0.711812988,0,0,0,0.237270996,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0.62216568,0,0,0,0.31108284,0,0,0,2,0,0,0,0
5.45378004,0.62216568,0,0,0.90896334,0.31108284,0,0,6,2,0,0,0
5.751994774,5.45378004,0.62216568,0,0.522908616,0.90896334,0.31108284,0,11,6,2,0,0
0,5.751994774,5.45378004,0.62216568,0,0.522908616,0.90896334,0.31108284,0,11,6,2,0
0,0,5.751994774,5.45378004,0,0,0.522908616,0.90896334,0,0,11,6,0
0,0,0,5.751994774,0,0,0,0.522908616,0,0,0,11,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
40.83957806,0,0,0,5.834225437,0,0,0,7,0,0,0,0
0,40.83957806,0,0,0,5.834225437,0,0,0,7,0,0,0
1.141097128,0,40.83957806,0,0.570548564,0,5.834225437,0,2,0,7,0,0
0.268259227,1.141097128,0,40.83957806,0.268259227,0.570548564,0,5.834225437,1,2,0,7,0
0.179940954,0.268259227,1.141097128,0,0.179940954,0.268259227,0.570548564,0,1,1,2,0,0
0,0.179940954,0.268259227,1.141097128,0,0.179940954,0.268259227,0.570548564,0,1,1,2,0
0,0,0.179940954,0.268259227,0,0,0.179940954,0.268259227,0,0,1,1,0
0,0,0,0.179940954,0,0,0,0.179940954,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0.663282812,0,0,0,0.663282812,0,0,0,1,0,0,0,0
0,0.663282812,0,0,0,0.663282812,0,0,0,1,0,0,0
0,0,0.663282812,0,0,0,0.663282812,0,0,0,1,0,0
0,0,0,0.663282812,0,0,0,0.663282812,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0.128563225,0,0,0,0.128563225,0,0,0,1,0,0,0,0
0,0.128563225,0,0,0,0.128563225,0,0,0,1,0,0,0
0,0,0.128563225,0,0,0,0.128563225,0,0,0,1,0,0
2.054529428,0,0,0.128563225,2.054529428,0,0,0.128563225,1,0,0,1,0
0,2.054529428,0,0,0,2.054529428,0,0,0,1,0,0,0
0,0,2.054529428,0,0,0,2.054529428,0,0,0,1,0,0
0,0,0,2.054529428,0,0,0,2.054529428,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0.605440378,0,0,0,0.302720189,0,0,0,2,0,0,0,0
0,0.605440378,0,0,0,0.302720189,0,0,0,2,0,0,0
0.543856084,0,0.605440378,0,0.271928042,0,0.302720189,0,2,0,2,0,0
0,0.543856084,0,0.605440378,0,0.271928042,0,0.302720189,0,2,0,2,0
0,0,0.543856084,0,0,0,0.271928042,0,0,0,2,0,0
0,0,0,0.543856084,0,0,0,0.271928042,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0.113287069,0,0,0,0.113287069,0,0,0,1,0,0,0,0
0,0.113287069,0,0,0,0.113287069,0,0,0,1,0,0,0
0.285627887,0,0.113287069,0,0.142813943,0,0.113287069,0,2,0,1,0,0
0,0.285627887,0,0.113287069,0,0.142813943,0,0.113287069,0,2,0,1,0
1.306415409,0,0.285627887,0,0.261283082,0,0.142813943,0,5,0,2,0,0
1.256972834,1.306415409,0,0.285627887,0.418990945,0.261283082,0,0.142813943,3,5,0,2,0
0,1.256972834,1.306415409,0,0,0.418990945,0.261283082,0,0,3,5,0,0
0,0,1.256972834,1.306415409,0,0,0.418990945,0.261283082,0,0,3,5,0
0,0,0,1.256972834,0,0,0,0.418990945,0,0,0,3,0
1.368648931,0,0,0,0.684324466,0,0,0,2,0,0,0,0
1.065309018,1.368648931,0,0,0.355103006,0.684324466,0,0,3,2,0,0,0
1.781168818,1.065309018,1.368648931,0,0.445292205,0.355103006,0.684324466,0,4,3,2,0,0
0,1.781168818,1.065309018,1.368648931,0,0.445292205,0.355103006,0.684324466,0,4,3,2,0
0,0,1.781168818,1.065309018,0,0,0.445292205,0.355103006,0,0,4,3,0
0,0,0,1.781168818,0,0,0,0.445292205,0,0,0,4,0
0.152694985,0,0,0,0.152694985,0,0,0,1,0,0,0,0
0.383881338,0.152694985,0,0,0.127960446,0.152694985,0,0,3,1,0,0,0
0,0.383881338,0.152694985,0,0,0.127960446,0.152694985,0,0,3,1,0,0
0,0,0.383881338,0.152694985,0,0,0.127960446,0.152694985,0,0,3,1,0
0,0,0,0.383881338,0,0,0,0.127960446,0,0,0,3,0
0.358955219,0,0,0,0.17947761,0,0,0,2,0,0,0,0
0,0.358955219,0,0,0,0.17947761,0,0,0,2,0,0,0
0,0,0.358955219,0,0,0,0.17947761,0,0,0,2,0,0
0.231484503,0,0,0.358955219,0.231484503,0,0,0.17947761,1,0,0,2,0
0,0.231484503,0,0,0,0.231484503,0,0,0,1,0,0,0
0,0,0.231484503,0,0,0,0.231484503,0,0,0,1,0,0
0,0,0,0.231484503,0,0,0,0.231484503,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0.262517095,0,0,0,0.262517095,0,0,0,1,0,0,0,0
0,0.262517095,0,0,0,0.262517095,0,0,0,1,0,0,0
0.122957997,0,0.262517095,0,0.122957997,0,0.262517095,0,1,0,1,0,0
0,0.122957997,0,0.262517095,0,0.122957997,0,0.262517095,0,1,0,1,0
0.315682262,0,0.122957997,0,0.315682262,0,0.122957997,0,1,0,1,0,0
0,0.315682262,0,0.122957997,0,0.315682262,0,0.122957997,0,1,0,1,0
0,0,0.315682262,0,0,0,0.315682262,0,0,0,1,0,0
0,0,0,0.315682262,0,0,0,0.315682262,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0.34135133,0,0,0,0.170675665,0,0,0,2,0,0,0,0
0,0.34135133,0,0,0,0.170675665,0,0,0,2,0,0,0
0,0,0.34135133,0,0,0,0.170675665,0,0,0,2,0,0
0,0,0,0.34135133,0,0,0,0.170675665,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0.166776538,0,0,0,0.166776538,0,0,0,1,0,0,0,0
0.187997058,0.166776538,0,0,0.187997058,0.166776538,0,0,1,1,0,0,0
0,0.187997058,0.166776538,0,0,0.187997058,0.166776538,0,0,1,1,0,0
0.250905581,0,0.187997058,0.166776538,0.12545279,0,0.187997058,0.166776538,2,0,1,1,0
6.042325497,0.250905581,0,0.187997058,3.021162748,0.12545279,0,0.187997058,2,2,0,1,0
18.61253923,6.042325497,0.250905581,0,4.653134808,3.021162748,0.12545279,0,4,2,2,0,0
9.997413427,18.61253923,6.042325497,0.250905581,3.332471142,4.653134808,3.021162748,0.12545279,3,4,2,2,0
0.13458246,9.997413427,18.61253923,6.042325497,0.13458246,3.332471142,4.653134808,3.021162748,1,3,4,2,0
0.150146097,0.13458246,9.997413427,18.61253923,0.150146097,0.13458246,3.332471142,4.653134808,1,1,3,4,0
1.111693159,0.150146097,0.13458246,9.997413427,0.27792329,0.150146097,0.13458246,3.332471142,4,1,1,3,0
0,1.111693159,0.150146097,0.13458246,0,0.27792329,0.150146097,0.13458246,0,4,1,1,0
0,0,1.111693159,0.150146097,0,0,0.27792329,0.150146097,0,0,4,1,0
0,0,0,1.111693159,0,0,0,0.27792329,0,0,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0.303840809,0,0,0,0.151920404,0,0,0,2,0,0,0,0
1.853934571,0.303840809,0,0,0.20599273,0.151920404,0,0,9,2,0,0,0
0,1.853934571,0.303840809,0,0,0.20599273,0.151920404,0,0,9,2,0,0
0,0,1.853934571,0.303840809,0,0,0.20599273,0.151920404,0,0,9,2,0
0.50366652,0,0,1.853934571,0.50366652,0,0,0.20599273,1,0,0,9,0
0,0.50366652,0,0,0,0.50366652,0,0,0,1,0,0,0
0,0,0.50366652,0,0,0,0.50366652,0,0,0,1,0,0
0.924955159,0,0,0.50366652,0.46247758,0,0,0.50366652,2,0,0,1,0
0,0.924955159,0,0,0,0.46247758,0,0,0,2,0,0,0
21.63249874,0,0.924955159,0,7.210832914,0,0.46247758,0,3,0,2,0,0
28.49914151,21.63249874,0,0.924955159,5.699828303,7.210832914,0,0.46247758,5,3,0,2,0
13.12441123,28.49914151,21.63249874,0,2.624882245,5.699828303,7.210832914,0,5,5,3,0,0
66.23114216,13.12441123,28.49914151,21.63249874,11.03852369,2.624882245,5.699828303,7.210832914,6,5,5,3,0
0,66.23114216,13.12441123,28.49914151,0,11.03852369,2.624882245,5.699828303,0,6,5,5,0
4.616386876,0,66.23114216,13.12441123,1.538795625,0,11.03852369,2.624882245,3,0,6,5,0
35.15149802,4.616386876,0,66.23114216,5.858583003,1.538795625,0,11.03852369,6,3,0,6,0
6.604488596,35.15149802,4.616386876,0,3.302244298,5.858583003,1.538795625,0,2,6,3,0,0
5.583888829,6.604488596,35.15149802,4.616386876,1.395972207,3.302244298,5.858583003,1.538795625,4,2,6,3,0
4.729221553,5.583888829,6.604488596,35.15149802,0.788203592,1.395972207,3.302244298,5.858583003,6,4,2,6,0
18.20476639,4.729221553,5.583888829,6.604488596,3.640953277,0.788203592,1.395972207,3.302244298,5,6,4,2,0
40.38576001,18.20476639,4.729221553,5.583888829,3.365480001,3.640953277,0.788203592,1.395972207,12,5,6,4,0
